,timestamp,tweet
0,2016-21-04 17:28:21,"RT @kexp: We love you, Prince. Thank you for the decades of music. https://t.co/nYQ7bklS4N"
1,2016-15-04 23:04:26,"+1 pwnt for 1-line TOS: 

'No take-backsies'"
2,2016-15-04 16:09:04,Getting coffee @KEXPNewHome is my new favorite part of waking up
3,2016-06-04 03:55:21,"RT @CodeFellowsSEA: Code 101, your #roadmap to a #new #career @spencercaldwell @dvicklund @davidatthepark @_craigcampbell @pnwlady https://…"
4,2016-23-03 19:36:30,"via @seattletimes: 'Wednesday morning, the man yelled from the treetop: 'How much taxpayer money are you wasting? It’s not an emergency!''"
5,2016-23-03 19:32:34,"#ManOnGround made it a whole 24 hours as #ManInTree - begging the question, 'why?'"
6,2016-23-03 02:40:52,"As a fellow arborophile, I stand perched with #ManInTree - if he makes it 24 hours, the mayor should grant him a permanent lease."
7,2016-23-03 02:29:33,"RT @SteveAdlerSays: #ManInTree may be knotty, but I'm starting to root for him. https://t.co/xaAki3OLpV"
8,2016-18-03 01:36:11,LIVE on #Periscope: The Photons Live https://t.co/KlNomFNf9P
9,2016-13-03 18:44:45,LIVE on #Periscope: Photons and Sound https://t.co/l1NTTUeE6Z
10,2016-08-03 04:44:47,Grading assignments @CodeFellowsSEA is so fun right now. #bitmapTransformer #codingGeniuses
11,2016-02-03 23:48:07,"https://t.co/tGMsfwnhdW

^An oldie but a goodie that's always fun to implement"
12,2016-28-02 23:56:40,RT @plutokiller: Dear Girls Scouts: How come the Thin Mints box says there are 8 servings but there are only 2 sleeves of Thin Mints? I nee…
13,2016-25-02 17:19:59,"RT @XplodingUnicorn: 5-year-old: Why do you spend so much time on the Internet?

Me: I don't know.

5: Is it because everyone there is nice…"
14,2016-25-02 16:29:03,"@loserboy Our band is playing our first show tonight and we owe it to the dream of one day covering the Morning Show theme song, so thx John"
15,2016-21-02 01:56:16,"Pushing to master

No TDD this project

Making me nervous

--Your dev haiku for the day &lt;3"
16,2016-19-02 23:34:20,Done with all my correspondence before I'm even out of bed - the future is awesome.
